countyState,id,count,,
"AUTAUGA, AL",1001,3,,
"BALDWIN, AL",1003,3,,
"BARBOUR, AL",1005,2,,
"BIBB, AL",1007,1,,
"BLOUNT, AL",1009,0,,
"BULLOCK, AL",1011,0,,
"BUTLER, AL",1013,3,,
"CALHOUN, AL",1015,5,,
"CHAMBERS, AL",1017,4,,
"CHEROKEE, AL",1019,2,,
"CHILTON, AL",1021,2,,
"CHOCTAW, AL",1023,2,,
"CLARKE, AL",1025,8,,
"CLAY, AL",1027,1,,
"CLEBURNE, AL",1029,1,,
"COFFEE, AL",1031,1,,
"COLBERT, AL",1033,3,,
"CONECUH, AL",1035,0,,
"COOSA, AL",1037,0,,
"COVINGTON, AL",1039,2,,
"CRENSHAW, AL",1041,0,,
"CULLMAN, AL",1043,1,,
"DALE, AL",1045,3,,
"DALLAS, AL",1047,3,,
"DE KALB, AL",1049,0,,
"ELMORE, AL",1051,3,,
"ESCAMBIA, AL",1053,0,,
"ETOWAH, AL",1055,5,,
"FAYETTE, AL",1057,0,,
"FRANKLIN, AL",1059,0,,
"GENEVA, AL",1061,2,,
"GREENE, AL",1063,0,,
"HALE, AL",1065,2,,
"HENRY, AL",1067,0,,
"HOUSTON, AL",1069,7,,
"JACKSON, AL",1071,2,,
"JEFFERSON, AL",1073,79,,
"LAMAR, AL",1075,5,,
"LAUDERDALE, AL",1077,4,,
"LAWRENCE, AL",1079,0,,
"LEE, AL",1081,5,,
"LIMESTONE, AL",1083,2,,
"LOWNDES, AL",1085,2,,
"MACON, AL",1087,3,,
"MADISON, AL",1089,11,,
"MARENGO, AL",1091,2,,
"MARION, AL",1093,0,,
"MARSHALL, AL",1095,0,,
"MOBILE, AL",1097,41,,
"MONROE, AL",1099,2,,
"MONTGOMERY, AL",1101,22,,
"MORGAN, AL",1103,8,,
"PERRY, AL",1105,0,,
"PICKENS, AL",1107,1,,
"PIKE, AL",1109,0,,
"RANDOLPH, AL",1111,1,,
"RUSSELL, AL",1113,2,,
"ST. CLAIR, AL",1115,0,,
"SHELBY, AL",1117,6,,
"SUMTER, AL",1119,1,,
"TALLADEGA, AL",1121,7,,
"TALLAPOOSA, AL",1123,4,,
"TUSCALOOSA, AL",1125,23,,
"WALKER, AL",1127,4,,
"WASHINGTON, AL",1129,1,,
"WILCOX, AL",1131,1,,
"WINSTON, AL",1133,0,,
"ALEUTIANS EAST, AK",2013,0,,
"ALEUTIANS WEST, AK",2016,0,,
"ANCHORAGE, AK",2020,10,,
"BETHEL, AK",2050,0,,
"BRISTOL BAY, AK",2060,0,,
"DENALI, AK",2068,0,,
"DILLINGHAM, AK",2070,0,,
"FAIRBANKS NORTH STAR, AK",2090,0,,
"HAINES, AK",2100,0,,
"JUNEAU, AK",2110,1,,
"KENAI PENINSULA, AK",2122,0,,
"KETCHIKAN GATEWAY, AK",2130,0,,
"KODIAK ISLAND, AK",2150,0,,
"LAKE AND PENINSULA, AK",2164,0,,
"MATANUSKA-SUSITNA, AK",2170,0,,
"NOME, AK",2180,1,,
"NORTH SLOPE, AK",2185,0,,
"NORTHWEST ARCTIC, AK",2188,0,,
"PRINCE OF WALES-OUTER KETCHIKAN, AK",2201,0,,
"SITKA, AK",2220,0,,
"SKAGWAY-HOONAH-ANGOON, AK",2232,0,,
"SOUTHEAST FAIRBANKS, AK",2240,0,,
"VALDEZ-CORDOVA, AK",2261,0,,
"WADE HAMPTON, AK",2270,0,,
"WRANGELL-PETERSBURG, AK",2280,0,,
"YAKUTAT, AK",2282,0,,
"YUKON-KOYUKUK, AK",2290,0,,
"APACHE, AZ",4001,1,,
"COCHISE, AZ",4003,1,,
"COCONINO, AZ",4005,4,,
"GILA, AZ",4007,4,,
"GRAHAM, AZ",4009,2,,
"GREENLEE, AZ",4011,0,,
"LA PAZ, AZ",4012,0,,
"MARICOPA, AZ",4013,48,,
"MOHAVE, AZ",4015,1,,
"NAVAJO, AZ",4017,0,,
"PIMA, AZ",4019,30,,
"PINAL, AZ",4021,3,,
"SANTA CRUZ, AZ",4023,1,,
"YAVAPAI, AZ",4025,2,,
"YUMA, AZ",4027,1,,
"ARKANSAS, AR",5001,0,,
"ASHLEY, AR",5003,3,,
"BAXTER, AR",5005,0,,
"BENTON, AR",5007,2,,
"BOONE, AR",5009,1,,
"BRADLEY, AR",5011,1,,
"CALHOUN, AR",5013,0,,
"CARROLL, AR",5015,1,,
"CHICOT, AR",5017,0,,
"CLARK, AR",5019,2,,
"CLAY, AR",5021,0,,
"CLEBURNE, AR",5023,0,,
"CLEVELAND, AR",5025,0,,
"COLUMBIA, AR",5027,3,,
"CONWAY, AR",5029,0,,
"CRAIGHEAD, AR",5031,1,,
"CRAWFORD, AR",5033,0,,
"CRITTENDEN, AR",5035,0,,
"CROSS, AR",5037,4,,
"DALLAS, AR",5039,0,,
"DESHA, AR",5041,0,,
"DREW, AR",5043,2,,
"FAULKNER, AR",5045,3,,
"FRANKLIN, AR",5047,2,,
"FULTON, AR",5049,0,,
"GARLAND, AR",5051,3,,
"GRANT, AR",5053,2,,
"GREENE, AR",5055,3,,
"HEMPSTEAD, AR",5057,0,,
"HOT SPRING, AR",5059,3,,
"HOWARD, AR",5061,1,,
"INDEPENDENCE, AR",5063,1,,
"IZARD, AR",5065,0,,
"JACKSON, AR",5067,3,,
"JEFFERSON, AR",5069,5,,
"JOHNSON, AR",5071,0,,
"LAFAYETTE, AR",5073,1,,
"LAWRENCE, AR",5075,1,,
"LEE, AR",5077,1,,
"LINCOLN, AR",5079,0,,
"LITTLE RIVER, AR",5081,0,,
"LOGAN, AR",5083,4,,
"LONOKE, AR",5085,0,,
"MADISON, AR",5087,1,,
"MARION, AR",5089,0,,
"MILLER, AR",5091,4,,
"MISSISSIPPI, AR",5093,2,,
"MONROE, AR",5095,0,,
"MONTGOMERY, AR",5097,2,,
"NEVADA, AR",5099,4,,
"NEWTON, AR",5101,0,,
"OUACHITA, AR",5103,2,,
"PERRY, AR",5105,1,,
"PHILLIPS, AR",5107,3,,
"PIKE, AR",5109,0,,
"POINSETT, AR",5111,1,,
"POLK, AR",5113,0,,
"POPE, AR",5115,4,,
"PRAIRIE, AR",5117,2,,
"PULASKI, AR",5119,25,,
"RANDOLPH, AR",5121,0,,
"ST. FRANCIS, AR",5123,0,,
"SALINE, AR",5125,5,,
"SCOTT, AR",5127,0,,
"SEARCY, AR",5129,0,,
"SEBASTIAN, AR",5131,13,,
"SEVIER, AR",5133,0,,
"SHARP, AR",5135,1,,
"STONE, AR",5137,1,,
"UNION, AR",5139,2,,
"VAN BUREN, AR",5141,3,,
"WASHINGTON, AR",5143,5,,
"WHITE, AR",5145,1,,
"WOODRUFF, AR",5147,0,,
"YELL, AR",5149,6,,
"ALAMEDA, CA",6001,154,,
"ALPINE, CA",6003,0,,
"AMADOR, CA",6005,3,,
"BUTTE, CA",6007,6,,
"CALAVERAS, CA",6009,1,,
"COLUSA, CA",6011,2,,
"CONTRA COSTA, CA",6013,37,,
"DEL NORTE, CA",6015,0,,
"EL DORADO, CA",6017,3,,
"FRESNO, CA",6019,49,,
"GLENN, CA",6021,1,,
"HUMBOLDT, CA",6023,10,,
"IMPERIAL, CA",6025,7,,
"INYO, CA",6027,0,,
"KERN, CA",6029,24,,
"KINGS, CA",6031,10,,
"LAKE, CA",6033,3,,
"LASSEN, CA",6035,3,,
"LOS ANGELES, CA",6037,789,,
"MADERA, CA",6039,3,,
"MARIN, CA",6041,19,,
"MARIPOSA, CA",6043,1,,
"MENDOCINO, CA",6045,5,,
"MERCED, CA",6047,20,,
"MODOC, CA",6049,0,,
"MONO, CA",6051,1,,
"MONTEREY, CA",6053,15,,
"NAPA, CA",6055,10,,
"NEVADA, CA",6057,3,,
"ORANGE, CA",6059,130,,
"PLACER, CA",6061,12,,
"PLUMAS, CA",6063,5,,
"RIVERSIDE, CA",6065,38,,
"SACRAMENTO, CA",6067,88,,
"SAN BENITO, CA",6069,0,,
"SAN BERNARDINO, CA",6071,69,,
"SAN DIEGO, CA",6073,160,,
"SAN FRANCISCO, CA",6075,175,,
"SAN JOAQUIN, CA",6077,24,,
"SAN LUIS OBISPO, CA",6079,7,,
"SAN MATEO, CA",6081,31,,
"SANTA BARBARA, CA",6083,29,,
"SANTA CLARA, CA",6085,72,,
"SANTA CRUZ, CA",6087,13,,
"SHASTA, CA",6089,3,,
"SIERRA, CA",6091,0,,
"SISKIYOU, CA",6093,4,,
"SOLANO, CA",6095,12,,
"SONOMA, CA",6097,17,,
"STANISLAUS, CA",6099,17,,
"SUTTER, CA",6101,2,,
"TEHAMA, CA",6103,4,,
"TRINITY, CA",6105,0,,
"TULARE, CA",6107,28,,
"TUOLUMNE, CA",6109,4,,
"VENTURA, CA",6111,41,,
"YOLO, CA",6113,7,,
"YUBA, CA",6115,1,,
"ADAMS, CO",8001,1,,
"ALAMOSA, CO",8003,0,,
"ARAPAHOE, CO",8005,47,,
"ARCHULETA, CO",8007,0,,
"BACA, CO",8009,1,,
"BENT, CO",8011,1,,
"BOULDER, CO",8013,5,,
"CHAFFEE, CO",8015,0,,
"CHEYENNE, CO",8017,0,,
"CLEAR CREEK, CO",8019,0,,
"CONEJOS, CO",8021,0,,
"COSTILLA, CO",8023,0,,
"CROWLEY, CO",8025,0,,
"CUSTER, CO",8027,0,,
"DELTA, CO",8029,1,,
"DENVER, CO",8031,0,,
"DOLORES, CO",8033,0,,
"DOUGLAS, CO",8035,0,,
"EAGLE, CO",8037,0,,
"ELBERT, CO",8039,0,,
"EL PASO, CO",8041,5,,
"FREMONT, CO",8043,2,,
"GARFIELD, CO",8045,0,,
"GILPIN, CO",8047,0,,
"GRAND, CO",8049,0,,
"GUNNISON, CO",8051,0,,
"HINSDALE, CO",8053,0,,
"HUERFANO, CO",8055,1,,
"JACKSON, CO",8057,0,,
"JEFFERSON, CO",8059,5,,
"KIOWA, CO",8061,0,,
"KIT CARSON, CO",8063,0,,
"LAKE, CO",8065,0,,
"LA PLATA, CO",8067,1,,
"LARIMER, CO",8069,3,,
"LAS ANIMAS, CO",8071,1,,
"LINCOLN, CO",8073,0,,
"LOGAN, CO",8075,0,,
"MESA, CO",8077,2,,
"MINERAL, CO",8079,0,,
"MOFFAT, CO",8081,0,,
"MONTEZUMA, CO",8083,0,,
"MONTROSE, CO",8085,1,,
"MORGAN, CO",8087,0,,
"OTERO, CO",8089,2,,
"OURAY, CO",8091,0,,
"PARK, CO",8093,0,,
"PHILLIPS, CO",8095,0,,
"PITKIN, CO",8097,0,,
"PROWERS, CO",8099,2,,
"PUEBLO, CO",8101,3,,
"RIO BLANCO, CO",8103,0,,
"RIO GRANDE, CO",8105,0,,
"ROUTT, CO",8107,1,,
"SAGUACHE, CO",8109,0,,
"SAN JUAN, CO",8111,0,,
"SAN MIGUEL, CO",8113,0,,
"SEDGWICK, CO",8115,0,,
"SUMMIT, CO",8117,0,,
"TELLER, CO",8119,1,,
"WASHINGTON, CO",8121,1,,
"WELD, CO",8123,4,,
"YUMA, CO",8125,0,,
"FAIRFIELD, CT",9001,40,,
"HARTFORD, CT",9003,40,,
"LITCHFIELD, CT",9005,8,,
